STATION,LATITUDE,LONGITUDE,ALTIUDE,NAME
57842,26.88 ,109.68 ,278.2 ,会同
57844,26.68 ,109.18 ,343.9 ,锦屏
57845,26.17 ,109.78 ,396.9 ,通道
57846,26.58 ,110.15 ,306.3 ,绥宁
57851,26.45 ,110.85 ,304.0 ,新宁
57853,26.73 ,110.63 ,340.1 ,武冈
57857,26.37 ,111.52 ,475.8 ,城步
57859,26.03 ,110.63 ,409.0 ,资源
57860,27.00 ,111.27 ,277.6 ,邵阳县
57865,26.42 ,111.57 ,109.6 ,冷水滩
57866,26.23 ,111.62 ,173.2 ,零陵
57867,26.40 ,111.28 ,167.9 ,东安
57868,26.60 ,111.87 ,112.4 ,祁阳
57870,26.80 ,112.10 ,147.1 ,祁东
57871,26.98 ,112.37 ,91.0 ,衡阳县
57872,26.90 ,112.60 ,102.8 ,衡阳
57874,26.42 ,112.40 ,116.4 ,常宁
57875,26.88 ,112.50 ,69.7 ,衡南
57876,26.40 ,112.85 ,83.2 ,耒阳
57881,26.72 ,113.25 ,101.7 ,安仁
57882,26.78 ,113.55 ,133.6 ,茶陵
57883,26.72 ,113.97 ,259.2 ,宁冈
57886,26.50 ,113.78 ,226.5 ,县
57887,26.13 ,113.12 ,121.7 ,永兴
57889,26.08 ,113.95 ,833.6 ,桂东
57891,26.93 ,114.25 ,144.6 ,永新
57894,26.58 ,114.17 ,838.1 ,井冈山
57895,26.47 ,114.67 ,96.8 ,万安
57896,26.33 ,114.50 ,125.3 ,遂川
57899,26.80 ,114.92 ,61.8 ,泰和
57900,25.83 ,105.22 ,1553.6 ,晴隆
57902,25.43 ,105.18 ,1379.3 ,兴仁
57903,25.93 ,105.60 ,1085.5 ,关岭
57905,25.40 ,105.63 ,1041.0 ,贞丰
57906,25.18 ,106.08 ,567.0 ,望谟
57907,25.08 ,104.90 ,1296.6 ,兴义
57908,25.12 ,105.48 ,1393.5 ,安龙
57909,24.98 ,105.82 ,581.4 ,册亨
57910,25.77 ,106.08 ,1195.9 ,紫云
57911,26.68 ,106.62 ,1281.1 ,白云
57912,26.17 ,106.67 ,988.9 ,惠水
57913,26.45 ,106.98 ,1088.1 ,龙里
57914,26.42 ,106.67 ,1096.2 ,花溪
57915,26.63 ,106.77 ,1105.2 ,乌当
57916,25.43 ,106.77 ,441.5 ,罗甸
57921,25.83 ,107.32 ,709.2 ,平塘
57922,25.83 ,107.55 ,1012.3 ,独山
57923,25.98 ,107.87 ,419.0 ,三都
57926,25.42 ,107.88 ,429.5 ,荔波
57927,25.00 ,107.17 ,246.4 ,天峨
57932,25.97 ,108.53 ,287.4 ,榕江
57936,25.58 ,108.90 ,235.0 ,从江
57941,25.78 ,109.60 ,198.4 ,三江
57942,25.80 ,110.00 ,269.0 ,龙胜
57947,25.22 ,109.40 ,122.1 ,融安
57948,25.08 ,109.25 ,123.4 ,融水
57949,24.98 ,110.00 ,157.0 ,永福
57954,25.23 ,110.18 ,157.8 ,临桂
57955,25.62 ,110.67 ,224.0 ,兴安
57956,25.42 ,110.32 ,169.0 ,灵川
57957,25.32 ,110.30 ,166.2 ,桂林
57958,25.08 ,110.32 ,171.6 ,桂林农试站
57960,25.93 ,111.07 ,196.7 ,全州
57962,25.97 ,111.65 ,162.5 ,双牌
57964,25.50 ,111.15 ,259.2 ,灌阳
57965,25.53 ,111.60 ,191.0 ,道县
57966,25.60 ,111.95 ,203.7 ,宁远
57969,25.27 ,111.33 ,227.4 ,江永
57971,25.92 ,112.20 ,217.7 ,新田
57972,25.80 ,113.03 ,183.8 ,郴州
57973,25.75 ,112.72 ,327.6 ,桂阳
57974,25.58 ,112.37 ,213.3 ,嘉禾
57975,25.38 ,112.20 ,275.4 ,兰山
57976,25.42 ,112.95 ,222.9 ,宜章
57978,25.28 ,112.55 ,292.0 ,临武
57980,25.93 ,113.18 ,135.6 ,桥口
57981,25.97 ,113.40 ,363.7 ,资兴
57985,25.57 ,113.68 ,607.9 ,汝城
57988,25.15 ,113.35 ,103.4 ,乐昌
57989,25.10 ,113.73 ,97.8 ,仁化
57990,25.70 ,114.30 ,247.2 ,崇义
57991,25.80 ,114.55 ,140.8 ,上犹
57992,25.67 ,114.75 ,127.0 ,南康
57993,25.85 ,114.95 ,124.7 ,赣州
57994,25.40 ,114.35 ,213.7 ,大余
57995,25.40 ,114.93 ,163.5 ,信丰
57996,25.13 ,114.32 ,134.9 ,南雄
58001,34.43 ,115.10 ,57.1 ,睢县
58002,34.82 ,115.55 ,50.0 ,曹县
58003,34.95 ,115.88 ,45.1 ,成武
58004,34.65 ,115.15 ,61.0 ,民权
58005,34.45 ,115.67 ,51.0 ,商丘
58006,34.38 ,115.88 ,47.2 ,虞城
58007,34.07 ,115.30 ,48.2 ,柘城
58008,34.47 ,115.33 ,55.4 ,宁陵
58009,34.38 ,115.58 ,50.6 ,商丘县
58010,34.25 ,116.13 ,41.2 ,夏邑
58011,34.80 ,116.07 ,44.3 ,单县
58012,34.68 ,116.58 ,40.6 ,丰县
58013,34.72 ,116.92 ,36.7 ,沛县
58015,34.42 ,116.33 ,50.9 ,砀山
58016,34.18 ,116.97 ,39.2 ,肖县
58020,34.85 ,117.13 ,40.5 ,微山
58021,34.78 ,117.25 ,45.5 ,薛城
58022,34.77 ,117.80 ,48.8 ,峄城
58024,34.87 ,117.58 ,74.8 ,枣庄
58025,34.57 ,117.73 ,32.3 ,台儿庄
58026,34.30 ,117.85 ,24.0 ,邳县
58027,34.28 ,117.15 ,41.9 ,徐州
58028,34.28 ,117.15 ,100.0 ,徐州农试站
58030,34.90 ,118.10 ,50.3 ,苍山
58032,34.93 ,118.65 ,62.7 ,临沭
58034,34.62 ,118.37 ,38.4 ,郯城
58035,34.35 ,118.35 ,29.4 ,新沂
58036,34.52 ,118.73 ,35.2 ,东海
58038,34.10 ,118.75 ,8.8 ,沭阳
58040,34.83 ,119.12 ,9.8 ,赣榆
58041,34.78 ,119.43 ,22.0 ,西连岛
58044,34.58 ,119.17 ,4.1 ,连云港
58045,34.22 ,119.60 ,4.0 ,响水
58046,34.48 ,119.78 ,5.0 ,燕尾港
58047,34.30 ,119.23 ,5.0 ,灌云
58048,34.10 ,119.35 ,6.0 ,灌南
58049,34.03 ,119.82 ,4.5 ,滨海
58100,33.63 ,115.18 ,42.4 ,郸城
58101,33.88 ,115.48 ,41.2 ,鹿邑
58102,33.87 ,115.77 ,41.8 ,毫州
58104,33.40 ,115.07 ,42.0 ,沈丘
58107,33.07 ,115.38 ,36.5 ,临泉
58108,33.27 ,115.35 ,38.7 ,界首
58109,33.17 ,115.72 ,34.0 ,太和
58111,33.93 ,116.38 ,32.7 ,永城
58113,33.93 ,116.78 ,32.3 ,濉汐
58114,33.50 ,116.20 ,31.2 ,涡阳
58116,33.98 ,116.82 ,34.2 ,淮北
58117,33.15 ,116.20 ,32.1 ,利辛
58118,33.28 ,116.53 ,27.5 ,蒙城
58122,33.63 ,116.98 ,36.7 ,宿县
58125,33.55 ,117.55 ,28.1 ,灵壁
58126,33.47 ,117.87 ,20.6 ,泗县
58127,32.97 ,117.20 ,23.2 ,怀远
58128,33.30 ,117.32 ,23.6 ,固镇
58129,33.13 ,117.88 ,21.0 ,五河
58130,33.88 ,117.92 ,23.5 ,睢宁
58131,33.95 ,118.23 ,28.1 ,宿迁
58132,33.70 ,118.72 ,15.6 ,泗阳
58135,33.45 ,118.22 ,17.0 ,泗洪
58138,32.98 ,118.52 ,36.3 ,盱眙
